"alpha100","alpha250","alpha500","alpha1000"
0.544461295512336,0.99999999,0.99999999,0.930568989071958
0.99999999,0.814745749040057,0.99999999,0.968312406474887
0.921429028234806,0.957605087337914,0.975716570532139,0.991882533937052
0.99999999,0.887022999241039,0.99999999,0.73083118024629
0.612472946898867,0.99999999,0.949251853870156,0.95080593097819
0.801846761998757,0.908746608624738,0.6917303445132,0.818873792824846
0.99999999,0.99999999,0.695747712009714,0.808644437757762
0.700128239516567,0.868458774978518,0.89682011011212,0.913242191756838
0.749989566199963,0.782216670944571,0.73369708488943,0.913009255440788
0.99999999,0.99999999,0.789470607053184,0.77932171181032
0.878287625092903,0.850425436974054,0.747972868219395,0.850920367234602
0.99999999,0.605404457836528,0.880260980124489,0.845823886398192
0.782342668530579,0.99999999,0.87319295865402,0.813614404587617
0.783532292714499,0.659110021612961,0.819946235023307,0.853585866087268
0.99999999,0.938191927002515,0.948883524620921,0.93468178450017
0.618894790350815,0.809858060431599,0.895053160335509,0.918796266134069
0.529988642340108,0.99999999,0.977587683301348,0.99999999
0.990791396080425,0.866966702846485,0.845357744381936,0.834293511899327
0.832175678029663,0.99999999,0.961013051039631,0.772262380968125
0.961307653996722,0.938180964398739,0.901078228595759,0.847303565888969
0.99999999,0.963293669475609,0.881128504180286,0.842987347227533
0.926204594713607,0.99999999,0.896214348124093,0.941924295169622
0.945758535466547,0.939235525766801,0.872518529262631,0.910890750555084
0.885265284028227,0.99999999,0.99999999,0.849276147738299
0.916860676635559,0.692233503588207,0.7153453456138,0.995241540808229
0.675080219295767,0.713577001576052,0.909412200729136,0.851521666150182
0.782923015723678,0.781790732801324,0.874297602754642,0.956339831389261
0.982479792970016,0.981901515063397,0.806870425780275,0.99999999
0.99999999,0.95654753060358,0.99999999,0.863817033097318
0.967014081647659,0.99999999,0.986308990559797,0.876416522264314
0.99999999,0.750781312873894,0.866051397053098,0.877263490189687
0.686931162256837,0.99999999,0.850352470683561,0.851271417467555
0.773360104696042,0.833802924313557,0.89779510967234,0.848400375783463
0.816238255065799,0.855933864742234,0.817265510742619,0.906018227250614
0.99999999,0.99999999,0.694902922258641,0.981097008207758
0.555517287696839,0.770691771501728,0.971558212644749,0.836633202860012
0.99999999,0.992213039722404,0.720588023789664,0.914283879350321
0.565388083054078,0.789158981407521,0.877243264119713,0.831657866427541
0.826193348860345,0.975332550236537,0.916309242265028,0.744374759937969
0.970609043797177,0.69232194465675,0.908957308767077,0.877186569734463
0.958378262662579,0.970327191182482,0.947482839471263,0.92373742284494
0.753345870291848,0.890305631317692,0.960755877708456,0.868551606149746
0.286829121159588,0.937147446142552,0.764568190904684,0.930283940764835
0.480543958171511,0.887391834295583,0.973221215233267,0.958846497991505
0.756432219351082,0.964576021736834,0.863660865179669,0.768329441194235
0.921467699728181,0.588937602732043,0.99999999,0.813248658937418
0.984997877628189,0.807267018254786,0.834529249771499,0.796835059221413
0.713681632872572,0.822851504258566,0.892038354981583,0.96929666974706
0.86531464122812,0.99999999,0.870112737795699,0.810954932923554
0.451955837413568,0.704334177235249,0.742271686082849,0.930235313561083
0.99999999,0.99999999,0.882139782894412,0.93305361862205
0.790917620470713,0.903513098154076,0.99999999,0.848909335759577
0.99999999,0.99999999,0.735838697250543,0.751185159169324
0.994832080414559,0.915810307045561,0.880185855498779,0.786857839640245
0.832140371329337,0.969696453185603,0.911028689131865,0.895630829465906
0.679533006516121,0.732619181800574,0.887295035625559,0.87515683170389
0.65100740528483,0.795326825495698,0.913378089208716,0.747054567869774
0.933886638866722,0.668564092388304,0.857448925074734,0.853676960879002
0.454902436163037,0.799361171236291,0.968206386008432,0.910553775672404
0.0756585910524677,0.846291459670527,0.876972943112745,0.99999999
0.98990712888716,0.813891619104626,0.953244927597351,0.849199471015543
0.750456724339206,0.99999999,0.920491861240556,0.869359667889737
0.50568912525193,0.959807896108167,0.99999999,0.833713025945511
0.99999999,0.99999999,0.905908615256354,0.99999999
0.99999999,0.776172669406204,0.990495368286938,0.877629005199592
0.727134237484156,0.99999999,0.897028681349098,0.816222420139535
0.99999999,0.985020030861131,0.705518245636188,0.899468188824573
0.493285757327512,0.84010404208417,0.99999999,0.904851116307976
0.998753106904137,0.863480499252226,0.795200821686252,0.99999999
0.420867241566334,0.759603220459274,0.99999999,0.895236485741005
0.898456811232481,0.982779922523877,0.898163368090486,0.99999999
0.794428665740305,0.99999999,0.830871126402615,0.94543814967695
0.99999999,0.849746154892292,0.874494390292746,0.865112070627019
0.932772424580274,0.830704643992076,0.99999999,0.811519591500961
0.928023888224558,0.852009997061427,0.769958185309342,0.806980624440893
0.803952520835162,0.699446164015599,0.750627002241565,0.971278632566712
0.99999999,0.721178844434909,0.99999999,0.972468543372301
0.620760073096421,0.667642776119775,0.865523686892264,0.95490265167772
0.990816044790129,0.99999999,0.969259051485374,0.885635429228716
0.99999999,0.99999999,0.99999999,0.952908868941916
0.932460345179827,0.99999999,0.774973901480698,0.99999999
0.813476308327102,0.799902826001097,0.65129305830341,0.91956447370517
0.942389255718636,0.99999999,0.99999999,0.786332377643979
0.99999999,0.561530502400634,0.828621704608753,0.933029169964082
0.99999999,0.98677608248024,0.910109031420516,0.997204571205696
0.954614267850093,0.729705800975355,0.99999999,0.895762702807488
0.702184908695309,0.97475176647519,0.946137585110254,0.864178115022666
0.99999999,0.922973871117691,0.850924377557043,0.833167436633286
0.655239994310124,0.86367234926481,0.984903931073662,0.835504060582079
0.674509557285934,0.896073549603114,0.99999999,0.99999999
0.706406652675794,0.694229458876739,0.858382589431756,0.99999999
0.722519210451158,0.861714340808686,0.857007886966924,0.913374284483036
0.930290775086876,0.668599309333616,0.99999999,0.855535912711143
0.845159177370007,0.915728338440734,0.755976065766913,0.927106022249049
0.99999999,0.99999999,0.890283599137836,0.894300223128739
0.609696800808749,0.687836300764834,0.83025284137888,0.77777528316281
0.971487277505652,0.869200325975975,0.99999999,0.910734077286959
0.995432868268283,0.849812666818361,0.793173709247862,0.680149433343488
0.739430464361591,0.683323161510109,0.867678271492203,0.99999999
0.99999999,0.917602156492572,0.732887860987955,0.943622734255367
0.99999999,0.99999999,0.934352022874026,0.873038293513107
0.977047068170145,0.691248810714248,0.813052450667411,0.92143701371793
0.842963483223766,0.936403291790942,0.99999999,0.800652671360934
0.882945337378927,0.99999999,0.956213666843663,0.906330502745424
0.343862198423203,0.952248840379824,0.817380676069432,0.987227781392364
0.99999999,0.99999999,0.99999999,0.916702518537302
0.818253968131876,0.83954029335861,0.99999999,0.959304953951862
0.812099971418856,0.73030881893273,0.884217232002627,0.804739058711117
0.769868845907102,0.631472469810502,0.946669531585923,0.894348045038273
0.99999999,0.801984209508349,0.805729921542112,0.790504915750084
0.929901670705177,0.868495218420509,0.99999999,0.923397690415405
0.99999999,0.99999999,0.909250818625936,0.891179688316874
0.99999999,0.99999999,0.850240131965263,0.909179607958484
0.99999999,0.99999999,0.863808736752476,0.917990128123722
0.707092223766537,0.822514300714125,0.710957364646093,0.911031762694109
0.596749651561973,0.99999999,0.606628410497595,0.99999999
0.705240095219377,0.946355112744956,0.914513094600482,0.767359373688578
0.793354739768138,0.858867291336803,0.923351998467843,0.806802596112703
0.99999999,0.933277888456824,0.730639685289748,0.882455415414687
0.746169641026337,0.575913507187161,0.99999999,0.945389679948383
0.99999999,0.882736544278171,0.68990742271046,0.90885963788032
0.99999999,0.617129943986411,0.937270108000959,0.976083889913297
0.824284366265667,0.81845807505508,0.881662802005768,0.790766338020533
0.997181701814144,0.867477710393126,0.838001572366091,0.994665004277681
0.697201167565173,0.880396374105236,0.903371115521718,0.934527309190158
0.99999999,0.796194189661399,0.891970068004552,0.859723334685402
0.99999999,0.948568507755775,0.99999999,0.924000168533079
0.844831113459962,0.804190690259974,0.99999999,0.935768527046953
0.997528773373068,0.845846665881036,0.948747947049824,0.917614924099597
0.99999999,0.99999999,0.971123995020717,0.938047290941408
0.808900640133469,0.99999999,0.99999999,0.844658840986952
0.936164839410339,0.924768508160522,0.932196002003501,0.998320453415264
0.962887769024318,0.99999999,0.808070481176802,0.767715169695275
0.971920546426351,0.602633236328887,0.916381478049003,0.845019696465551
0.728540178779982,0.99999999,0.931572040570277,0.919973602052198
0.950213073386765,0.895470745652997,0.99999999,0.896309563621426
0.69615260416553,0.94799229355101,0.930679668268978,0.927508671598104
0.754582469574075,0.829101980976904,0.957890257031158,0.883684221848638
0.99999999,0.727003752350727,0.688888039290627,0.885364345062926
